Gene stable ID	Transcript stable ID
ENSG00000204713	ENST00000377194
ENSG00000204713	ENST00000377199
ENSG00000225553	ENST00000454914
ENSG00000225553	ENST00000427869
ENSG00000168283	ENST00000376663
ENSG00000215641	ENST00000400720
ENSG00000215641	ENST00000417660
ENSG00000137504	ENST00000490820
ENSG00000137504	ENST00000527447
ENSG00000162521	ENST00000414241
ENSG00000162521	ENST00000373493
ENSG00000162521	ENST00000373485
ENSG00000162521	ENST00000458695
ENSG00000102054	ENST00000380087
ENSG00000102054	ENST00000380084
ENSG00000106462	ENST00000478654
ENSG00000106462	ENST00000460911
ENSG00000106462	ENST00000350995
ENSG00000106462	ENST00000320356
ENSG00000106462	ENST00000476773
ENSG00000106462	ENST00000483967
ENSG00000074266	ENST00000263360
ENSG00000074266	ENST00000327320
ENSG00000178691	ENST00000322652
ENSG00000119403	ENST00000373896
ENSG00000119403	ENST00000312189
ENSG00000130816	ENST00000340748
ENSG00000130816	ENST00000359526
ENSG00000130816	ENST00000540357
ENSG00000112511	ENST00000374512
ENSG00000112511	ENST00000374516
ENSG00000229006	ENST00000431123
ENSG00000229006	ENST00000452265
ENSG00000066336	ENST00000378538
ENSG00000066336	ENST00000227163
ENSG00000008083	ENST00000341776
ENSG00000008083	ENST00000397311
ENSG00000120616	ENST00000319778
ENSG00000120616	ENST00000375110
ENSG00000120616	ENST00000263062
ENSG00000143033	ENST00000370298
ENSG00000124795	ENST00000397239
ENSG00000124795	ENST00000244776
ENSG00000233795	ENST00000417275
ENSG00000233795	ENST00000444794
ENSG00000233795	ENST00000442585
ENSG00000233795	ENST00000412396
ENSG00000186184	ENST00000302979
ENSG00000186184	ENST00000399697
ENSG00000115750	ENST00000263663
ENSG00000171453	ENST00000372389
ENSG00000171453	ENST00000304004
ENSG00000236949	ENST00000437373
ENSG00000236949	ENST00000431032
ENSG00000236949	ENST00000433264
ENSG00000236949	ENST00000432545
ENSG00000103168	ENST00000341690
ENSG00000103168	ENST00000567759
ENSG00000103168	ENST00000566732
ENSG00000103168	ENST00000570117
ENSG00000103168	ENST00000541676
ENSG00000163882	ENST00000456318
ENSG00000163882	ENST00000438240
ENSG00000163882	ENST00000430783
ENSG00000163882	ENST00000443489
ENSG00000163882	ENST00000452961
ENSG00000163882	ENST00000429568
ENSG00000114166	ENST00000263754
ENSG00000235443	ENST00000443494
ENSG00000235443	ENST00000437507
ENSG00000235443	ENST00000443142
ENSG00000235443	ENST00000453694
ENSG00000066379	ENST00000332435
ENSG00000066379	ENST00000376782
ENSG00000066379	ENST00000359374
ENSG00000066379	ENST00000376785
ENSG00000197879	ENST00000359786
ENSG00000197879	ENST00000438665
ENSG00000197879	ENST00000575158
ENSG00000197879	ENST00000361007
ENSG00000169241	ENST00000303343
ENSG00000169241	ENST00000368404
ENSG00000169241	ENST00000368401
ENSG00000115524	ENST00000335508
ENSG00000115524	ENST00000409915
ENSG00000115524	ENST00000414963
ENSG00000108773	ENST00000225916
ENSG00000075624	ENST00000331789
ENSG00000236808	ENST00000432904
ENSG00000236808	ENST00000420100
ENSG00000236808	ENST00000432227
ENSG00000236808	ENST00000444027
ENSG00000235176	ENST00000417738
ENSG00000235176	ENST00000429558
ENSG00000235176	ENST00000441251
ENSG00000235176	ENST00000431416
ENSG00000177700	ENST00000534030
ENSG00000177700	ENST00000322028
ENSG00000224859	ENST00000446493
ENSG00000224859	ENST00000455948
ENSG00000224859	ENST00000428913
ENSG00000224859	ENST00000451875
ENSG00000165732	ENST00000354185
ENSG00000165732	ENST00000620315
ENSG00000105849	ENST00000222567
